mode,exp_id,support_type,l_m,r_m,pi_l,pi_k_exp,pi_k_pred_TB,pi_k_pred_ALL,f_exp,f_pred_TB,f_pred_ALL,rel_error_TB,rel_error_ALL
axial,TB_07+07_Mid_AA,TB,1.837,0.008,229.625,17.438244014408152,22.74088681820092,21.866088092931562,0.3815,0.38557227438594754,0.3849034222128769,0.30408123658617914,0.2539157081908565
axial,TB_07+07_Mid_AR,TB,1.837,0.008,229.625,19.77514030562247,22.74088681820092,21.866088092931562,0.3833,0.38557227438594754,0.3849034222128769,0.14997347511790987,0.10573617961712221
axial,TB_07+07_Mid_RA,TB,1.837,0.008,229.625,24.876151833897612,22.74088681820092,21.866088092931562,0.3872,0.38557227438594754,0.3849034222128769,-0.0858358250083947,-0.1210019845941112
axial,TB_07+07_Mid_RR,TB,1.837,0.008,229.625,24.350594613593096,22.74088681820092,21.866088092931562,0.3868,0.38557227438594754,0.3849034222128769,-0.0661054820605324,-0.10203063046660146
axial,TB_07+13_Mid_AA,TB,2.437,0.008,304.625,14.4375974666834,23.402741205429635,23.850529580695074,0.3268,0.3313594695748133,0.3315855606894578,0.6209581448322306,0.6519735804889434
axial,TB_07+13_Mid_AR,TB,2.437,0.008,304.625,16.78507647556441,23.402741205429635,23.850529580695074,0.328,0.3313594695748133,0.3315855606894578,0.3942588369793354,0.42093660493096346
axial,TB_07+13_Mid_RA,TB,2.437,0.008,304.625,-0.2299638013901163,23.402741205429635,23.850529580695074,0.3192,0.3313594695748133,0.3315855606894578,-102.76706535533671,-104.71427779728882
axial,TB_07+13_Mid_RR,TB,2.437,0.008,304.625,21.30846083281894,23.402741205429635,23.850529580695074,0.3303,0.3313594695748133,0.3315855606894578,0.09828398160908541,0.11929856256726344
axial,TB_13+07_Mid_AA,TB,2.437,0.008,304.625,13.462020610709626,23.402741205429635,23.850529580695074,0.3263,0.3313594695748133,0.3315855606894578,0.7384270818016525,0.7716901697298647
axial,TB_13+07_Mid_AR,TB,2.437,0.008,304.625,15.219134461087888,23.402741205429635,23.850529580695074,0.3272,0.3313594695748133,0.3315855606894578,0.5377182759811671,0.5671409988311648
axial,TB_13+07_Mid_RA,TB,2.437,0.008,304.625,31.85224931998175,23.402741205429635,23.850529580695074,0.3356,0.3313594695748133,0.3315855606894578,-0.2652719445232873,-0.25121364770515553
axial,TB_13+07_Mid_RR,TB,2.437,0.008,304.625,21.703292366383593,23.402741205429635,23.850529580695074,0.3305,0.3313594695748133,0.3315855606894578,0.0783037343070737,0.09893601293586932
axial,TB_07+07_MidTop_AA,TB,2.097,0.008,262.125,32.90021871651863,23.048508563926614,22.774078492995354,0.3652,0.3590507083113677,0.35887790469295305,-0.29944208691979435,-0.3077833710096011
axial,TB_07+07_MidTop_AR,TB,2.097,0.008,262.125,23.603623397208352,23.048508563926614,22.774078492995354,0.3594,0.3590507083113677,0.35887790469295305,-0.023518204130785824,-0.035144811889818155
axial,TB_07+07_MidTop_RA,TB,2.097,0.008,262.125,42.509798910177835,23.048508563926614,22.774078492995354,0.3711,0.3590507083113677,0.35887790469295305,-0.4578071608236127,-0.4642628505226189
axial,TB_07+07_MidTop_RR,TB,2.097,0.008,262.125,28.553978337182613,23.048508563926614,22.774078492995354,0.3625,0.3590507083113677,0.35887790469295305,-0.19280920186476605,-0.20242012429703185
axial,TB_07+13_MidTop_AA,TB,2.697,0.008,337.125,28.017081605300536,23.644793022831916,24.60534950285369,0.3159,0.31400297732316307,0.31442071891574597,-0.15605795935724545,-0.12177328640115681
axial,TB_07+13_MidTop_AR,TB,2.697,0.008,337.125,15.640288131353593,23.644793022831916,24.60534950285369,0.3105,0.31400297732316307,0.31442071891574597,0.5117875594268589,0.5732030827186695
axial,TB_07+13_MidTop_RA,TB,2.697,0.008,337.125,31.260713611468855,23.644793022831916,24.60534950285369,0.3173,0.31400297732316307,0.31442071891574597,-0.2436259352007508,-0.21289866224210122
axial,TB_07+13_MidTop_RR,TB,2.697,0.008,337.125,34.98528482764827,23.644793022831916,24.60534950285369,0.3189,0.31400297732316307,0.31442071891574597,-0.3241503352247731,-0.29669432093894216
axial,TB_13+07_MidTop_AA,TB,2.697,0.008,337.125,30.10062705840996,23.644793022831916,24.60534950285369,0.3168,0.31400297732316307,0.31442071891574597,-0.21447506801272156,-0.1825635573934303
axial,TB_13+07_MidTop_AR,TB,2.697,0.008,337.125,25.248241685947967,23.644793022831916,24.60534950285369,0.3147,0.31400297732316307,0.31442071891574597,-0.06350733976094891,-0.025462849694285063
axial,TB_13+07_MidTop_RA,TB,2.697,0.008,337.125,30.10062705840996,23.644793022831916,24.60534950285369,0.3168,0.31400297732316307,0.31442071891574597,-0.21447506801272156,-0.1825635573934303
axial,TB_13+07_MidTop_RR,TB,2.697,0.008,337.125,22.031247213627083,23.644793022831916,24.60534950285369,0.3133,0.31400297732316307,0.31442071891574597,0.07323896797848102,0.11683870024546038
axial,CSBD_07_A,CSBD,0.7,0.0125,55.99999999999999,20.459659216739865,19.70616692873472,14.171416772793437,0.69619,0.692751110804222,0.666947615787993,-0.036828193471993204,-0.30734834717097625
axial,CSBD_07_R,CSBD,0.7,0.0125,55.99999999999999,24.15159671059984,19.70616692873472,14.171416772793437,0.7128,0.692751110804222,0.666947615787993,-0.18406359774606845,-0.4132306471243048
axial,CSBD_13_A,CSBD,1.3,0.0125,104.0,19.432232466976323,20.984142135738935,17.141337550575674,0.4763,0.47928489968125987,0.4718592485943518,0.07986265455603056,-0.11789149395438017
axial,CSBD_13_R,CSBD,1.3,0.0125,104.0,20.003016595905827,20.984142135738935,17.141337550575674,0.4774,0.47928489968125987,0.4718592485943518,0.04904887895928273,-0.14306237419789347
axial,CSB_07_A,CSB,0.81,0.018,45.00000000000001,5.595077289337057,19.273549192694595,13.250183723064868,0.5873,0.6619451586883192,0.6301653488090965,2.444733324671956,1.368186003134702
axial,CSB_07_R,CSB,0.81,0.018,45.00000000000001,4.107194168752496,19.273549192694595,13.250183723064868,0.5786,0.6619451586883192,0.6301653488090965,3.6926316119475477,2.2260913846908363
axial,CSB_13_A,CSB,1.41,0.018,78.33333333333333,3.508147451682101,20.389066290082333,15.711337661968448,0.4291,0.47128066960923726,0.45997991744372213,4.811918276213303,3.4785283054265896
axial,CSB_13_R,CSB,1.41,0.018,78.33333333333333,7.914516134620815,20.389066290082333,15.711337661968448,0.4405,0.47128066960923726,0.45997991744372213,1.576160809236783,0.9851292731897602
planar_rotation,CA_07_A,CA,0.739,0.008,92.375,100.43311485580497,58.201463777343264,40.5809409292258,0.7888,0.7084937211863815,0.6721563404668095,-0.42049528324492413,-0.5959406318574392
planar_rotation,CA_07_R,CA,0.739,0.008,92.375,107.2452597757653,58.201463777343264,40.5809409292258,0.801,0.7084937211863815,0.6721563404668095,-0.45730502309347465,-0.6216062041895856
